VisualDistractionTrials.thisRepN,VisualDistractionTrials.thisTrialN,VisualDistractionTrials.thisN,VisualDistractionTrials.thisIndex,VisualAndAudioDistractor.thisRepN,VisualAndAudioDistractor.thisTrialN,VisualAndAudioDistractor.thisN,VisualAndAudioDistractor.thisIndex,AudioDistractorFiles.thisRepN,AudioDistractorFiles.thisTrialN,AudioDistractorFiles.thisN,AudioDistractorFiles.thisIndex,IntroText.started,IntroText.stopped,next_screen1.keys,next_screen1.rt,next_screen1.started,next_screen1.stopped,FixationCrossText.started,FixationCrossText.stopped,Condition,p_Target_2.started,p_Target_2.stopped,b_Target_2.started,b_Target_2.stopped,p_Distractor_2.started,p_Distractor_2.stopped,b_Distractor_2.started,b_Distractor_2.stopped,g_Distractor_2.started,g_Distractor_2.stopped,h_Filler_2.started,h_Filler_2.stopped,l_Filler_2.started,l_Filler_2.stopped,y_filler_2.started,y_filler_2.stopped,Response,Response_code,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.started,mouse_2.stopped,whiteimage_2.started,whiteimage_2.stopped,Faster.started,Faster.stopped,happy.started,happy.stopped,sad.started,sad.stopped,Pause_Text.started,Pause_Text.stopped,next_screen1_2.keys,next_screen1_2.rt,next_screen1_2.started,next_screen1_2.stopped,p_Target.started,p_Target.stopped,b_Target.started,b_Target.stopped,p_Distractor.started,p_Distractor.stopped,b_Distractor.started,b_Distractor.stopped,g_Distractor.started,g_Distractor.stopped,h_Filler.started,h_Filler.stopped,l_Filler.started,l_Filler.stopped,y_filler.started,y_filler.stopped,p_Dis_Sound.started,p_Dis_Sound.stopped,b_Dis_Sound.started,b_Dis_Sound.stopped,g_Dis_Sound.started,g_Dis_Sound.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.started,mouse.stopped,whiteimage.started,whiteimage.stopped,p_Target_3.started,p_Target_3.stopped,b_Target_3.started,b_Target_3.stopped,h_Filler_3.started,h_Filler_3.stopped,l_Filler_3.started,l_Filler_3.stopped,y_filler_3.started,y_filler_3.stopped,p_Dis_Sound_2.started,p_Dis_Sound_2.stopped,b_Dis_Sound_2.started,b_Dis_Sound_2.stopped,g_Dis_Sound_2.started,g_Dis_Sound_2.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,mouse_3.started,mouse_3.stopped,whiteimage_3.started,whiteimage_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
9,0,9,0,,,,,,,,,,,,,,,1339.5361428000033,None,Congruent,1340.5549664999999,1341.0599244999903,1340.5549664999999,1341.0599244999903,1340.5549664999999,1341.0599244999903,1340.5549664999999,1341.0599244999903,1340.5549664999999,1341.0599244999903,1340.5549664999999,1341.0599244999903,1340.5549664999999,1341.0599244999903,1340.5549664999999,1341.0599244999903,Correct,1.0,[0.16458334],[-0.3],[0],[0],[1],[0.5507216000114568],0.01207408998743631,None,1341.0264497000026,None,1341.1338527999906,None,1341.1338527999906,None,1341.1338527999906,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,¨12,001,2022-07-13_14h54.04.366,SelectiveAttentionTest,2022.1.3,59.96710204514547,
10,0,10,0,,,,,,,,,,,,,,,1341.6419435999996,None,Neutral,1342.6482607999933,None,1342.6482607999933,None,1342.6482607999933,None,1342.6482607999933,None,1342.6482607999933,None,1342.6482607999933,None,1342.6482607999933,None,1342.6482607999933,None,Incorrect,2.0,[0.16458334],[-0.3],[1],[0],[0],[0.4662925000011455],0.013849989991285838,None,None,None,1343.1497315000015,None,1343.1497315000015,None,1343.1497315000015,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,¨12,001,2022-07-13_14h54.04.366,SelectiveAttentionTest,2022.1.3,59.96710204514547,
11,0,11,0,,,,,,,,,,,,,,,1343.6475034000032,None,Neutral,1344.662973899991,1345.1710293999931,1344.662973899991,1345.1710293999931,1344.662973899991,1345.1710293999931,1344.662973899991,1345.1710293999931,1344.662973899991,1345.1710293999931,1344.662973899991,1345.1710293999931,1344.662973899991,1345.1710293999931,1344.662973899991,1345.1710293999931,Incorrect,2.0,[0.16458334],[-0.3],[0],[0],[1],[0.5655626999941887],0.011178490007296205,None,1345.1382874999981,None,1345.2454204999958,None,1345.2454204999958,None,1345.2454204999958,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,¨12,001,2022-07-13_14h54.04.366,SelectiveAttentionTest,2022.1.3,59.96710204514547,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1345.7539527000044,None,return,0.8111153000063496,1345.7539527000044,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,¨12,001,2022-07-13_14h54.04.366,SelectiveAttentionTest,2022.1.3,59.96710204514547,
,,,,0,0,0,0,,,,,,,,,,,1346.589156499991,None,Neutral,,,,,,,,,,,,,,,,,Correct,1.0,,,,,,,,,,,1348.156889299993,None,1348.156889299993,None,1348.156889299993,None,,,,,,,1347.6150897999905,None,1347.6150897999905,None,1347.6150897999905,None,1347.6150897999905,None,1347.6150897999905,None,1347.6150897999905,None,1347.6150897999905,None,1347.6150897999905,None,1347.5923036899999,None,1347.5923036899999,None,1347.5923036899999,None,[0.16458334],[-0.3],[0],[0],[1],[0.5132318999967538],0.004048690010677092,None,1348.1003172999917,None,,,,,,,,,,,,,,,,,,,,,,,,,,,¨12,001,2022-07-13_14h54.04.366,SelectiveAttentionTest,2022.1.3,59.96710204514547,
,,,,1,0,1,0,,,,,,,,,,,1348.6618350999925,None,Neutral,,,,,,,,,,,,,,,,,Correct,1.0,,,,,,,,,,,1350.1985799999966,None,1350.1985799999966,None,1350.1985799999966,None,,,,,,,1349.6760630999925,None,1349.6760630999925,None,1349.6760630999925,None,1349.6760630999925,None,1349.6760630999925,None,1349.6760630999925,None,1349.6760630999925,None,1349.6760630999925,None,1349.6646504899923,None,1349.6646504899923,None,1349.6646504899923,None,[0.16458334],[-0.3],[0],[0],[1],[0.4984124000038719],0.01017309000599198,None,1350.1522530999937,None,,,,,,,,,,,,,,,,,,,,,,,,,,,¨12,001,2022-07-13_14h54.04.366,SelectiveAttentionTest,2022.1.3,59.96710204514547,
,,,,2,0,2,0,,,,,,,,,,,1350.700893599991,None,Incongruent,,,,,,,,,,,,,,,,,Correct,1.0,,,,,,,,,,,1352.2256250999926,None,1352.2256250999926,None,1352.2256250999926,None,,,,,,,1351.7252942999912,None,1351.7252942999912,None,1351.7252942999912,None,1351.7252942999912,None,1351.7252942999912,None,1351.7252942999912,None,1351.7252942999912,None,1351.7252942999912,None,1351.7037701899912,None,1351.7037701899912,None,1351.7037701899912,None,[0.16458334],[-0.3],[1],[0],[0],[0.47746539999207016],0.008378089987672865,None,1352.1888227899994,None,,,,,,,,,,,,,,,,,,,,,,,,,,,¨12,001,2022-07-13_14h54.04.366,SelectiveAttentionTest,2022.1.3,59.96710204514547,
,,,,3,0,3,0,,,,,,,,,,,1352.7230945999909,None,Congruent,,,,,,,,,,,,,,,,,Correct,1.0,,,,,,,,,,,1354.2634263999935,None,1354.2634263999935,None,1354.2634263999935,None,,,,,,,1353.7362907999923,None,1353.7362907999923,None,1353.7362907999923,None,1353.7362907999923,None,1353.7362907999923,None,1353.7362907999923,None,1353.7362907999923,None,1353.7362907999923,None,1353.7260740900033,None,1353.7260740900033,None,1353.7260740900033,None,[0.16458334],[-0.3],[1],[0],[0],[0.4989856000029249],0.010425490007037297,None,1354.213660399997,None,,,,,,,,,,,,,,,,,,,,,,,,,,,¨12,001,2022-07-13_14h54.04.366,SelectiveAttentionTest,2022.1.3,59.96710204514547,
,,,,4,0,4,0,,,,,,,,,,,1354.7623929999972,None,Neutral,,,,,,,,,,,,,,,,,Incorrect,2.0,,,,,,,,,,,1356.3052828999935,None,1356.3052828999935,None,1356.3052828999935,None,,,,,,,1355.7700208000024,None,1355.7700208000024,None,1355.7700208000024,None,1355.7700208000024,None,1355.7700208000024,None,1355.7700208000024,None,1355.7700208000024,None,1355.7700208000024,None,1355.7651390899932,None,1355.7651390899932,None,1355.7651390899932,None,[0.16458334],[-0.3],[0],[0],[1],[0.5006915999983903],0.011735189997125417,None,1356.2530793999904,None,,,,,,,,,,,,,,,,,,,,,,,,,,,¨12,001,2022-07-13_14h54.04.366,SelectiveAttentionTest,2022.1.3,59.96710204514547,
,,,,5,0,5,0,,,,,,,,,,,1356.8183833999938,None,Neutral,,,,,,,,,,,,,,,,,Correct,1.0,,,,,,,,,,,1358.3309416999982,None,1358.3309416999982,None,1358.3309416999982,None,,,,,,,1357.8277172999951,None,1357.8277172999951,None,1357.8277172999951,None,1357.8277172999951,None,1357.8277172999951,None,1357.8277172999951,None,1357.8277172999951,None,1357.8277172999951,None,1357.8210191899939,None,1357.8210191899939,None,1357.8210191899939,None,[0.16458334],[-0.3],[1],[0],[0],[0.46298270000261255],0.01023769001767505,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,¨12,001,2022-07-13_14h54.04.366,SelectiveAttentionTest,2022.1.3,59.96710204514547,
